week_start_date,menu_category,dish_name,dish_type,preparation_time_hours,ingredient_cost_per_serving,selling_price,shelf_life_hours,popularity_score,nutritional_category,season_appropriateness,prep_difficulty,equipment_needed,allergens
2024-01-29,lunch,BBQ Jackfruit Sandwich,regular,0.43,3.9,13.08,9,7,international,summer,medium,grill,none
2024-01-29,breakfast,Ratatouille,vegan,2.12,1.68,4.65,9,4,international,winter,medium,grill,none
2024-02-05,dinner,Spinach Artichoke Flatbread,gluten_free,1.97,2.53,5.92,8,6,comfort_food,winter,easy,steamer,none
2024-02-05,breakfast,Chicken Noodle Soup,vegan,0.57,2.51,7.43,5,8,classic,year_round,easy,grill,"soy,nuts"
2024-02-05,breakfast,French Toast Sticks,regular,0.41,3.15,8.69,4,9,healthy,summer,easy,steamer,none
2024-02-05,lunch,Grilled Chicken Sandwich,vegetarian,1.16,1.48,4.64,11,9,healthy,winter,medium,fryer,none
2024-02-05,lunch,Pancit Noodles,gluten_free,0.92,0.85,2.2,12,10,classic,fall,medium,grill,none
2024-02-05,lunch,Grilled Salmon,regular,1.57,3.29,7.4,4,7,healthy,fall,easy,grill,none
2024-02-05,lunch,Oatmeal with Nuts,gluten_free,2.47,3.67,12.14,10,8,international,year_round,medium,grill,"dairy,soy"
2024-02-05,dinner,Beet & Goat Cheese Salad,vegetarian,0.97,1.74,5.86,9,6,classic,winter,medium,oven,"gluten,eggs"
2024-02-05,dinner,Veggie Spring Rolls,regular,2.33,3.84,9.43,2,6,international,fall,medium,fryer,none
2024-02-12,dinner,Stuffed Peppers,vegan,0.56,3.74,7.9,9,5,classic,year_round,hard,fryer,"nuts,soy"
2024-02-12,dinner,Lamb Gyro,vegan,1.11,2.92,8.7,3,6,international,winter,easy,fryer,none
2024-02-12,dinner,Shrimp Tacos,vegan,1.25,2.25,6.95,2,10,comfort_food,summer,medium,steamer,"gluten,soy"
2024-02-12,breakfast,Fried Rice,regular,0.38,2.42,4.9,3,5,healthy,fall,hard,oven,shellfish
2024-02-12,breakfast,Chicken Shawarma,gluten_free,2.23,3.66,8.02,8,6,healthy,winter,easy,oven,dairy
2024-02-12,breakfast,Mediterranean Grain Bowl,vegetarian,1.31,2.51,7.44,12,5,healthy,year_round,hard,grill,none
2024-02-12,lunch,Sweet Potato Fries,vegetarian,2.08,1.22,2.5,11,5,international,summer,hard,fryer,none
2024-02-12,breakfast,Egg Drop Soup,vegetarian,2.22,2.14,4.63,6,7,comfort_food,winter,medium,oven,"dairy,gluten"
2024-02-12,lunch,Chia Seed Pudding,vegetarian,0.27,2.59,6.04,7,7,classic,spring,medium,grill,none
2024-02-19,lunch,Chicken Caesar Salad,vegetarian,1.93,1.15,3.37,6,10,classic,winter,easy,fryer,none
2024-02-19,lunch,Chick‑fil‑A Style Nuggets,vegan,1.98,1.58,5.11,7,9,classic,summer,hard,grill,"soy,gluten"
2024-02-19,dinner,Miso Ramen Bowl,gluten_free,0.3,2.14,6.99,6,8,comfort_food,winter,medium,oven,none
2024-02-19,breakfast,Pho Noodle Soup,vegetarian,0.47,0.92,2.01,8,10,classic,summer,medium,grill,shellfish
2024-02-19,lunch,Veggie Frittata,vegan,2.0,1.4,4.13,9,6,comfort_food,spring,hard,oven,none
2024-02-19,dinner,Pumpkin Soup,gluten_free,0.6,1.6,4.83,3,4,comfort_food,fall,medium,fryer,"nuts,soy"
2024-02-19,breakfast,Cheeseburger,gluten_free,0.41,1.51,3.42,2,7,healthy,fall,easy,oven,none
2024-02-19,dinner,Banh Mi Sandwich,vegetarian,1.02,1.46,3.15,11,9,classic,summer,hard,oven,"shellfish,dairy"
2024-02-19,lunch,Caesar Salad Wrap,vegan,1.77,3.77,7.95,10,10,classic,spring,medium,fryer,"nuts,gluten"
2024-02-26,dinner,Broccoli Cheddar Soup,regular,0.88,3.91,13.28,4,9,healthy,year_round,easy,oven,dairy
2024-02-26,lunch,Cobb Salad,vegetarian,0.92,1.89,4.87,7,8,healthy,year_round,easy,grill,none
2024-02-26,dinner,Quiche Lorraine,vegetarian,0.31,3.09,6.5,7,7,international,summer,easy,steamer,none
2024-02-26,dinner,Seitan Stir‑Fry,regular,1.79,1.51,3.89,6,9,international,fall,hard,oven,"eggs,nuts"
2024-02-26,breakfast,Avocado Chicken Salad,gluten_free,1.71,3.51,7.19,3,9,classic,fall,medium,oven,"eggs,dairy"
2024-02-26,lunch,Buffalo Chicken Wrap,gluten_free,0.87,0.93,2.4,7,6,comfort_food,spring,hard,grill,none
2024-02-26,breakfast,Baked Ziti,vegetarian,1.9,2.65,6.16,3,6,international,fall,medium,grill,"soy,gluten"
2024-02-26,dinner,Vegan Chocolate Cake,regular,0.68,1.61,4.45,11,8,comfort_food,winter,hard,fryer,nuts
2024-02-26,dinner,Salmon Poke Bowl,gluten_free,1.94,1.1,3.58,11,6,comfort_food,year_round,easy,steamer,"soy,dairy"
2024-03-04,dinner,Avocado Egg Salad,vegan,0.38,2.32,6.17,5,10,healthy,winter,easy,steamer,"gluten,soy"
2024-03-04,dinner,Eggplant Parmesan,regular,1.39,2.19,4.87,6,10,comfort_food,fall,medium,steamer,none
2024-03-04,lunch,Chocolate Chip Muffin,gluten_free,0.45,1.6,3.4,8,7,international,summer,medium,fryer,none
2024-03-04,lunch,Ham & Cheese Croissant,gluten_free,0.58,3.34,11.29,2,7,classic,fall,hard,fryer,"nuts,eggs"
2024-03-04,dinner,Beef Chili,gluten_free,0.61,2.77,8.16,3,5,classic,year_round,easy,steamer,"eggs,dairy"
2024-03-04,dinner,Gnocchi Marinara,regular,1.35,2.88,10.02,4,10,comfort_food,summer,easy,fryer,none
2024-03-04,breakfast,Breakfast Burrito,vegan,1.29,2.43,5.69,9,6,comfort_food,fall,easy,fryer,none
2024-03-04,lunch,Goulash,gluten_free,2.08,1.47,5.02,7,10,international,spring,medium,grill,none
2024-03-04,dinner,Pulled Mushroom Tacos,vegan,0.42,1.93,4.83,10,5,classic,winter,medium,fryer,none
2024-03-11,dinner,Pork Tonkatsu,vegan,1.31,3.57,8.03,8,10,classic,fall,easy,oven,none
2024-03-11,breakfast,Vegan Buddha Bowl,vegan,0.92,3.59,10.89,4,5,healthy,winter,easy,grill,none
2024-03-11,breakfast,Soba Noodle Salad,regular,1.64,1.69,4.95,2,10,classic,spring,easy,steamer,shellfish
2024-03-11,lunch,Veggie Burrito,vegan,1.93,1.92,6.43,12,6,international,spring,medium,grill,soy
2024-03-11,dinner,Pad Thai,vegetarian,2.43,2.39,5.9,5,9,healthy,fall,easy,steamer,nuts
2024-03-11,lunch,Falafel Pita,gluten_free,1.96,0.85,2.2,8,10,classic,spring,medium,steamer,"dairy,nuts"
2024-03-11,lunch,Grilled Veggie Skewers,vegan,0.67,3.05,8.18,12,5,classic,summer,easy,steamer,"nuts,gluten"
2024-03-11,lunch,Seared Tuna Salad,vegetarian,0.54,2.76,9.17,4,4,comfort_food,winter,medium,fryer,"dairy,soy"
2024-03-11,lunch,Breakfast Smoothie,vegetarian,0.48,2.62,7.71,4,10,international,year_round,easy,fryer,none
2024-03-18,lunch,Baklava,vegan,0.73,2.8,6.61,4,10,classic,summer,easy,oven,nuts
